Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
MJ Guptill (NZ),2009-2018,75,73,7,2271,105,34.4,1709,132.88,2,14,2,200,103
BB McCullum (NZ),2005-2015,71,70,10,2140,123,35.66,1571,136.21,2,13,3,199,91
V Kohli (INDIA),2010-2018,57,53,14,1983,90*,50.84,1444,137.32,0,18,1,210,41
TM Dilshan (SL),2006-2016,80,79,12,1889,104*,28.19,1567,120.54,1,13,10,223,33
JP Duminy (SA),2007-2018,76,70,22,1822,96*,37.95,1460,124.79,0,11,6,130,65
Shoaib Malik (PAK),2006-2017,92,86,24,1821,75,29.37,1548,117.63,0,6,1,152,43
Mohammad Shahzad (AFG),2010-2018,60,60,3,1816,118*,31.85,1333,136.23,1,12,3,204,68
DA Warner (AUS),2009-2018,70,70,3,1792,90*,26.74,1279,140.1,0,13,5,172,79
RG Sharma (INDIA),2007-2018,76,69,12,1696,118,29.75,1254,135.24,2,12,5,157,69
Umar Akmal (PAK),2009-2016,82,77,14,1690,94,26.82,1375,122.9,0,8,8,122,55
EJG Morgan (ENG),2009-2018,72,70,14,1678,85*,29.96,1268,132.33,0,9,3,124,76
AB de Villiers (SA),2006-2017,78,75,11,1672,79*,26.12,1237,135.16,0,10,5,140,60
Mohammad Hafeez (PAK),2006-2017,81,78,5,1658,86,22.71,1457,113.79,0,9,5,178,39
CH Gayle (WI),2006-2018,55,51,4,1589,117,33.8,1095,145.11,2,13,3,136,103
DPMD Jayawardene (SL),2006-2014,55,55,8,1493,100,31.76,1121,133.18,1,9,4,173,33
MN Samuels (WI),2007-2017,60,58,10,1469,89*,30.6,1275,115.21,0,10,0,133,60
SR Watson (AUS),2006-2016,58,56,6,1462,124*,29.24,1006,145.32,1,10,3,115,83
H Masakadza (ZIM),2006-2018,52,52,2,1460,93*,29.2,1233,118.41,0,10,0,135,54
AD Hales (ENG),2011-2018,52,52,6,1456,116*,31.65,1068,136.32,1,7,4,158,45
MS Dhoni (INDIA),2006-2018,89,78,39,1444,56,37.02,1141,126.55,0,2,1,101,46
SK Raina (INDIA),2006-2018,70,60,11,1425,101,29.08,1071,133.05,1,4,2,129,50
Ahmed Shehzad (PAK),2009-2018,55,55,2,1416,111*,26.71,1223,115.78,1,7,2,154,30
LRPL Taylor (NZ),2006-2018,81,73,17,1415,63,25.26,1169,121.04,0,5,4,91,55
Shahid Afridi (PAK),2006-2016,98,90,12,1405,54*,18.01,932,150.75,0,4,8,102,73
KC Sangakkara (SL),2006-2014,56,53,9,1382,78,31.4,1156,119.55,0,8,2,139,20
Tamim Iqbal (BDESH/World),2007-2018,62*,62,5,1348,103*,23.64,1159,116.3,1,4,4,149,32
KS Williamson (NZ),2011-2018,51,49,7,1316,73*,31.33,1088,120.95,0,8,2,142,21
HM Amla (SA/World),2009-2017,43,43,6,1277,97*,34.51,963,132.6,0,8,1,146,26
Shakib Al Hasan (BDESH),2006-2017,61,61,8,1223,84,23.07,1009,121.2,0,6,4,121,27
AJ Finch (AUS),2011-2018,36,36,6,1206,156,40.2,795,151.69,1,7,0,120,54
F du Plessis (SA/World),2012-2017,39,39,6,1191,119,36.09,894,133.22,1,7,0,107,38
Yuvraj Singh (INDIA),2007-2017,58,51,9,1177,77*,28.02,863,136.38,0,8,1,77,74
KP Pietersen (ENG),2005-2013,37,36,5,1176,79,37.93,831,141.51,0,7,1,119,32
C Munro (NZ),2012-2018,45,42,7,1173,109*,33.51,717,163.59,3,7,4,85,78
DJ Bravo (WI),2006-2016,66,59,12,1142,66*,24.29,981,116.41,0,4,4,67,49
GJ Maxwell (AUS),2012-2018,43,38,7,1072,145*,34.58,647,165.68,2,3,1,99,54
DA Miller (SA/World),2010-2018,60,52,15,1070,101*,28.91,765,139.86,1,1,0,71,48
JC Buttler (ENG),2011-2018,61,53,11,1069,73*,25.45,796,134.29,0,5,3,75,46
AD Mathews (SL),2009-2017,71,56,18,1055,81*,27.76,890,118.53,0,5,0,67,35
WTS Porterfield (IRE),2008-2017,56,54,6,1002,72,20.87,903,110.96,0,3,5,114,20
Kamran Akmal (PAK),2006-2017,58,53,6,987,73,21,825,119.63,0,5,7,100,31
CL White (AUS),2007-2014,47,44,14,984,85*,32.8,740,132.97,0,5,3,71,44
